test_name,z_spacing,num_z,bytes_per_z,num_threads,insn_total,ops_total,ns_elapsed,ops_unit
matfp_f16f16_x*y+z,far,1,2048,1,1887436800,3865470566400,2376053000,GFLOPS
matfp_f16f16_x*y+z,far,2,2048,1,1887436800,3865470566400,1198846000,GFLOPS
matfp_f16f32_x*y+z,far,1,4096,1,1887436800,3865470566400,2377663000,GFLOPS
matfp_f32f32_x*y+z,far,1,1024,1,7549747200,3865470566400,9745930000,GFLOPS
matfp_f32f32_x*y+z,far,2,1024,1,7549747200,3865470566400,4775801000,GFLOPS
matfp_f32f32_x*y+z,far,3,1024,1,7549747200,3865470566400,3272911000,GFLOPS
matfp_f32f32_x*y+z,far,4,1024,1,7549747200,3865470566400,2375002000,GFLOPS
