n,threads,mean_ms,tflops,prepacked_ms,prepacked_tflops,relative_l2,max_abs
64,1,0.00203916,0.2571097903058122,0.00027083930000000003,1.935789968442541,0.000982494093477726,0.0048828125
128,1,0.00713958,0.5874720921958995,0.00173374,2.4192231822533943,0.0015354665229097009,0.01416015625
256,1,0.0358,0.9372746368715084,0.01164749,2.8808294319205254,0.002225070958957076,0.0283203125
512,1,0.1595513,1.6824397920919478,0.08703083,3.0843720093212945,0.003213033080101013,0.06298828125
1024,1,0.9461683,2.269663492213806,0.6834404,3.142166673202228,0.004580345936119556,0.1572265625
2048,1,7.280839,2.359600203218338,5.866854,2.9282932869984495,0.006497655529528856,0.325439453125
4096,1,83.45887,1.6467866563733728,77.00696,1.7847601498877501,0.009226355701684952,0.777099609375
